frame cameraID r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0 0 1
0 0 -0.9368587 -0.02389242 -0.3488912 -6.504064 -0.0206148 0.9997016 -0.01310475 271.5629 0.3491002 -0.005084977 -0.9370717 -2.499279 0 0 0 1
0 1 -0.9368587 -0.02389242 -0.3488912 -7.036789 -0.0206148 0.9997016 -0.01310475 271.5629 0.3491002 -0.005084977 -0.9370717 -2.499279 0 0 0 1
1 0 -0.9368776 -0.02383346 -0.3488449 -6.390715 -0.02065029 0.9997043 -0.01284131 271.5645 0.3490478 -0.004826982 -0.9370928 -2.793872 0 0 0 1
1 1 -0.9368776 -0.02383346 -0.3488449 -6.92344 -0.02065029 0.9997043 -0.01284131 271.5645 0.3490478 -0.004826982 -0.9370928 -2.793872 0 0 0 1
2 0 -0.936813 -0.0241724 -0.3489948 -6.394114 -0.02107408 0.9996976 -0.01267247 271.5638 0.3491956 -0.004516985 -0.9370391 -3.038501 0 0 0 1
2 1 -0.936813 -0.0241724 -0.3489948 -6.92684 -0.02107408 0.9996976 -0.01267247 271.5638 0.3491956 -0.004516985 -0.9370391 -3.038501 0 0 0 1
3 0 -0.9368619 -0.02416336 -0.3488637 -6.303892 -0.02095181 0.9996963 -0.01297662 271.5634 0.3490713 -0.004847981 -0.9370836 -3.454816 0 0 0 1
3 1 -0.9368619 -0.02416336 -0.3488637 -6.836617 -0.02095181 0.9996963 -0.01297662 271.5634 0.3490713 -0.004847981 -0.9370836 -3.454816 0 0 0 1
4 0 -0.9368812 -0.02404539 -0.3488203 -6.176609 -0.02079997 0.9996985 -0.01304694 271.5642 0.3490289 -0.00496798 -0.937099 -3.844229 0 0 0 1
4 1 -0.9368812 -0.02404539 -0.3488203 -6.709334 -0.02079997 0.9996985 -0.01304694 271.5642 0.3490289 -0.00496798 -0.937099 -3.844229 0 0 0 1
5 0 -0.9369844 -0.02381849 -0.3485584 -6.028563 -0.02070752 0.9997056 -0.01264884 271.5675 0.3487571 -0.004633984 -0.9372019 -4.075303 0 0 0 1
5 1 -0.9369844 -0.02381849 -0.3485584 -6.561287 -0.02070752 0.9997056 -0.01264884 271.5675 0.3487571 -0.004633984 -0.9372019 -4.075303 0 0 0 1
6 0 -0.9370257 -0.02363453 -0.3484601 -5.894584 -0.02046216 0.9997089 -0.01278218 271.5681 0.3486608 -0.00484698 -0.9372365 -4.45262 0 0 0 1
6 1 -0.9370257 -0.02363453 -0.3484601 -6.42731 -0.02046216 0.9997089 -0.01278218 271.5682 0.3486608 -0.00484698 -0.9372365 -4.452621 0 0 0 1
